id,date,price,bedrooms,sqft_living,sqft_lot,floors,waterfront,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
2219707,10/13/2014,221900.0,3BHK,1180 sqft,5650 sqft,1.0,0,average,average,1180,0,1955,1869,98178,47.5112,-122.257,1340 sqft,5650 sqft
5380090,12/9/2014,538000.0,3BHK,2570 sqft,7242 sqft,2.0,0,average,average,2170,400,1951,1991,98125,47.721,-122.319,1690 sqft,7639 sqft
1800646,2/25/2015,180000.0,2BHK,71.533 sqm,929.0 sqm,1.0,0,average,average,770,0,1933,1869,98028,47.7379,-122.233,252.688 sqm,748.9598 sqm
6040902,12/9/2014,604000.0,4BHK,182.084 sqm,464.5 sqm,1.0,0,very good,average,1050,910,1965,1869,98136,47.5208,-122.393,126.344 sqm,464.5 sqm
5100249,2/18/2015,510000.0,3BHK,1680 sqft,8080 sqft,1.0,0,average,average,1680,0,1987,1869,98074,47.6168,-122.045,1800 sqft,7503 sqft
12300900,5/12/2014,1230000.0,4BHK,5420 sqft,101930 sqft,1.0,0,average,good,3890,1530,2001,1869,98053,47.6561,-122.005,4760 sqft,101930 sqft
2919118,15/1/2015,291850.0,3BHK,98.47399999999999 sqm,902.1519 sqm,1.0,0,average,average,1060,0,1963,1869,98198,47.4095,-122.315,153.285 sqm,902.1519 sqm
2295217,4/15/2015,229500.0,3BHK,1780 sqft,7470 sqft,1.0,0,average,average,1050,730,1960,1869,98146,47.5123,-122.337,1780 sqft,8113 sqft
6625453,4/3/2015,662500.0,3BHK,3560 sqft,9796 sqft,1.0,0,average,average,1860,1700,1965,1869,98007,47.6007,-122.145,2210 sqft,8925 sqft
4680371,5/27/2014,468000.0,2BHK,1160 sqft,6000 sqft,1.0,0,good,average,860,300,1942,1869,98115,47.69,-122.292,1330 sqft,6000 sqft
